group,location,effect_music_1_ovr,effect_music_1_mus,effect_music_1_tot,effect_music_2_ovr,effect_music_2_mus,effect_music_2_tot,effect_music_total,effect_visual_1_ovr,effect_visual_1_vis,effect_visual_1_tot,effect_visual_2_ovr,effect_visual_2_vis,effect_visual_2_tot,effect_visual_total,music_1_comp,music_1_perf,music_1_tot,music_2_comp,music_2_perf,music_2_tot,music_total,visual_1_comp,visual_1_perf,visual_1_tot,visual_2_comp,visual_2_perf,visual_2_tot,visual_total,sub_total,penalties,total,effect_music_1_judge,effect_music_2_judge,effect_visual_1_judge,effect_visual_2_judge,music_1_judge,music_2_judge,visual_1_judge,visual_2_judge,class,date
Victor J. Andrew HS,"Tinley Park, IL",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Greenfield-Central HS,"Greenfield, IN",2.0,2.0,2.0,6.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,2.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Beavercreek HS,"Beavercreek, OH",6.0,3.0,3.0,4.0,8.0,7.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,6.0,5.0,12.0,12.0,12.0,9.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,,3.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Spring-Ford HS,"Royersford, PA",4.0,10.0,9.0,7.0,6.0,8.0,9.0,2.0,2.0,2.0,11.0,13.0,12.0,6.0,2.0,3.0,3.0,3.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,7.0,6.0,4.0,4.0,,4.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Westfield HS (IN),"Westfield, IN",7.0,8.0,8.0,3.0,7.0,5.0,7.0,6.0,8.0,6.0,4.0,5.0,4.0,5.0,8.0,9.0,9.0,2.0,2.0,2.0,5.0,9.0,7.0,7.0,7.0,9.0,8.0,9.0,5.0,,5.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
South Jones HS,"Ellisville, MS",8.0,5.0,5.0,9.0,2.0,3.0,4.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,5.0,2.0,2.0,5.0,4.0,4.0,2.0,8.0,8.0,8.0,10.0,12.0,11.0,10.0,6.0,,6.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Noblesville HS,"Noblesville, IN",10.0,7.0,10.0,2.0,4.0,2.0,5.0,3.0,3.0,3.0,6.0,8.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,9.0,6.0,7.0,7.0,7.0,,7.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Hempfield HS,"Landisville, PA",3.0,9.0,6.0,8.0,9.0,9.0,9.0,8.0,6.0,7.0,8.0,7.0,8.0,8.0,6.0,8.0,8.0,6.0,5.0,6.0,6.0,2.0,2.0,2.0,8.0,10.0,9.0,4.0,8.0,,8.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Westhill HS,"Stamford, CT",9.0,6.0,7.0,5.0,5.0,6.0,6.0,14.0,14.0,14.0,7.0,4.0,6.0,12.0,9.0,5.0,6.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,6.0,5.0,5.0,8.0,9.0,,9.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Trumbull HS,"Trumbull, CT",5.0,4.0,4.0,11.0,10.0,10.0,8.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,9.0,9.0,10.0,12.0,12.0,12.0,13.0,8.0,10.0,11.0,10.0,,10.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Pacifica HS,"Garden Grove, CA",13.0,12.0,13.0,12.0,11.0,12.0,12.0,9.0,7.0,9.0,5.0,6.0,5.0,6.0,12.0,12.0,12.0,9.0,11.0,10.0,12.0,11.0,11.0,11.0,11.0,13.0,13.0,12.0,11.0,,11.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Centerville HS,"Centerville, OH",11.0,14.0,12.0,10.0,12.0,11.0,11.0,7.0,9.0,8.0,10.0,10.0,10.0,9.0,14.0,14.0,14.0,10.0,13.0,13.0,13.0,13.0,14.0,13.0,12.0,11.0,12.0,13.0,12.0,,12.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Southlake Carroll HS,"Southlake, TX",12.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,10.0,11.0,11.0,13.0,10.0,11.0,11.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,,13.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
North Port HS,"North Port, FL",14.0,13.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,14.0,12.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,7.0,10.0,9.0,4.0,4.0,4.0,6.0,14.0,,14.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Rancho Cucamonga HS,"Rancho Cucamonga, CA",1.0,1.0,1.0,3.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Great Oak HS,"Temecula, CA",2.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,8.0,6.0,6.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,,2.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Kamiak HS,"Mukilteo, WA",3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,12.0,10.0,11.0,7.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,,3.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Germantown HS,"Madison, MS",9.0,8.0,9.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,7.0,8.0,7.0,5.0,9.0,7.0,8.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,,4.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Chisholm Trail HS,"Fort Worth, TX",10.0,13.0,11.0,6.0,5.0,5.0,9.0,6.0,5.0,6.0,8.0,9.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,2.0,2.0,2.0,5.0,5.0,,5.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Saginaw HS,"Saginaw, TX",4.0,5.0,5.0,8.0,7.0,7.0,6.0,4.0,6.0,5.0,2.0,2.0,2.0,3.0,6.0,2.0,3.0,9.0,9.0,9.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Timberland Combined Schools,"Wentzville, MO",7.0,2.0,4.0,10.0,10.0,10.0,7.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,4.0,8.0,7.0,4.0,4.0,4.0,5.0,7.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,,7.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Hernando HS,"Hernando, MS",6.0,7.0,6.0,2.0,2.0,2.0,4.0,13.0,13.0,13.0,9.0,11.0,10.0,13.0,7.0,5.0,6.0,9.0,12.0,12.0,8.0,6.0,7.0,7.0,9.0,8.0,9.0,7.0,8.0,,8.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Hudsonville HS,"Hudsonville, MI",8.0,6.0,7.0,13.0,12.0,13.0,10.0,11.0,11.0,11.0,13.0,10.0,12.0,11.0,11.0,10.0,11.0,7.0,5.0,5.0,8.0,10.0,10.0,10.0,8.0,7.0,7.0,9.0,9.0,,9.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
South County Combined Schools,"Lorton, VA",5.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,12.0,13.0,13.0,10.0,8.0,12.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,10.0,,10.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Buckhorn HS,"New Market, AL",11.0,10.0,10.0,9.0,8.0,9.0,11.0,12.0,12.0,12.0,5.0,5.0,5.0,8.0,12.0,9.0,9.0,12.0,13.0,13.0,13.0,4.0,5.0,5.0,13.0,13.0,13.0,10.0,11.0,,11.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Bob Jones HS,"Madison, AL",13.0,12.0,13.0,11.0,14.0,12.0,13.0,10.0,10.0,10.0,10.0,7.0,8.0,9.0,13.0,14.0,14.0,6.0,7.0,7.0,12.0,12.0,14.0,12.0,12.0,10.0,11.0,12.0,12.0,,12.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Hickory HS,"Chesapeake, VA",15.0,15.0,15.0,14.0,13.0,14.0,14.0,9.0,9.0,9.0,14.0,14.0,14.0,11.0,10.0,11.0,12.0,5.0,8.0,8.0,10.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,13.0,,13.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Warren Central HS (IN),"Indianapolis, IN",14.0,11.0,12.0,12.0,11.0,11.0,12.0,14.0,14.0,14.0,11.0,12.0,11.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,13.0,15.0,15.0,10.0,11.0,10.0,13.0,14.0,,14.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
New Milford HS,"New Milford, CT",12.0,14.0,14.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0,13.0,15.0,14.0,14.0,14.0,15.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,,15.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic Open,2025-04-10
Veritas,"Indianapolis, IN",3.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,8.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Civitas Independent,"Rock Hill, SC",4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,7.0,6.0,7.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,6.0,7.0,4.0,2.0,,2.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
OCI,"Gardena, CA",1.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,7.0,8.0,8.0,7.0,5.0,6.0,6.0,5.0,5.0,5.0,1.0,2.0,1.0,2.0,3.0,,3.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Freedom Percussion,"St. Louis, MO",2.0,5.0,4.0,4.0,2.0,4.0,4.0,8.0,8.0,8.0,2.0,1.0,2.0,3.0,6.0,6.0,6.0,3.0,6.0,3.0,5.0,3.0,3.0,3.0,4.0,8.0,6.0,5.0,4.0,,4.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Q2,"Atlanta, GA",5.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,,5.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Paradigm Percussion,"Pumping Iron Station, NC",7.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,8.0,6.0,7.0,3.0,4.0,4.0,9.0,4.0,7.0,4.0,7.0,7.0,7.0,6.0,5.0,5.0,7.0,6.0,,6.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Bakersfield College,"Bakersfield, CA",6.0,7.0,6.0,5.0,6.0,6.0,6.0,3.0,5.0,5.0,11.0,11.0,11.0,8.0,1.0,2.0,1.0,10.0,10.0,10.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,6.0,7.0,,7.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Infinity 3,"Orlando, FL",8.0,12.0,10.0,12.0,10.0,11.0,9.0,9.0,10.0,9.0,5.0,4.0,4.0,9.0,8.0,7.0,7.0,5.0,8.0,8.0,8.0,14.0,11.0,12.0,9.0,10.0,9.0,10.0,8.0,,8.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Motor City Percussion,"Detroit, MI",10.0,6.0,8.0,14.0,14.0,14.0,11.0,5.0,3.0,4.0,8.0,7.0,8.0,6.0,10.0,10.0,10.0,4.0,7.0,5.0,9.0,12.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,,9.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Synergy,"Rio Grande Valley, TX",9.0,10.0,9.0,8.0,15.0,12.0,8.0,13.0,13.0,13.0,14.0,14.0,14.0,13.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,10.0,12.0,11.0,8.0,7.0,8.0,8.0,10.0,,10.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Lotus Indoor Percussion,"Benton, AR",14.0,13.0,14.0,10.0,8.0,8.0,13.0,17.0,17.0,17.0,12.0,12.0,12.0,14.0,9.0,9.0,9.0,6.0,9.0,9.0,10.0,8.0,8.0,8.0,12.0,12.0,12.0,11.0,11.0,,11.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Gold Spike Percussion,"Ogden, UT",13.0,11.0,12.0,11.0,9.0,9.0,12.0,12.0,12.0,12.0,9.0,9.0,9.0,11.0,12.0,12.0,12.0,14.0,14.0,14.0,12.0,11.0,13.0,13.0,11.0,11.0,11.0,12.0,12.0,,12.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Revelation,"Fort Mill, SC",11.0,8.0,11.0,9.0,12.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,13.0,13.0,13.0,16.0,15.0,15.0,13.0,13.0,14.0,14.0,13.0,14.0,14.0,14.0,13.0,,13.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Desert Vox,"El Paso, TX",12.0,14.0,13.0,13.0,11.0,13.0,14.0,11.0,9.0,10.0,13.0,13.0,13.0,12.0,14.0,14.0,14.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,16.0,15.0,16.0,15.0,14.0,,14.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Convergence Indoor Percussion,"Surprise, AZ",17.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,12.0,11.0,11.0,15.0,9.0,10.0,9.0,15.0,16.0,15.0,13.0,15.0,,15.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Tri-City Percussion,"Fremont, CA",15.0,17.0,16.0,15.0,13.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,13.0,13.0,15.0,16.0,,16.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Crystal Lake Thunder,"Crystal Lake, IL",16.0,15.0,15.0,17.0,17.0,17.0,17.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,17.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
UTSA,"San Antonio, TX",4.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,9.0,8.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,,1.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Cap City 2,"Grove City, OH",1.0,3.0,1.0,3.0,5.0,3.0,2.0,7.0,8.0,7.0,4.0,3.0,4.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,2.0,,2.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
River City Rhythm,"Anoka, MN",2.0,2.0,2.0,8.0,2.0,6.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,,3.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
United Percussion 2,"Voorhees, NJ",3.0,6.0,4.0,10.0,7.0,9.0,6.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,7.0,7.0,7.0,2.0,2.0,2.0,6.0,4.0,,4.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Spectre Percussion,"Richmond, VA",9.0,11.0,10.0,4.0,9.0,5.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,1.0,1.0,1.0,7.0,7.0,7.0,3.0,5.0,,5.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Imperial Dynasty,"Wilmington, DE",5.0,4.0,5.0,6.0,8.0,7.0,4.0,12.0,12.0,12.0,8.0,9.0,9.0,10.0,2.0,3.0,3.0,7.0,6.0,7.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,,6.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Matrix Open,"Akron, OH",6.0,8.0,7.0,5.0,3.0,4.0,5.0,9.0,9.0,9.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,9.0,13.0,11.0,8.0,8.0,8.0,9.0,7.0,,7.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Breakthrough Indoor Percussion,"Phoenix, AZ",14.0,12.0,12.0,7.0,10.0,8.0,12.0,5.0,6.0,6.0,2.0,4.0,3.0,4.0,11.0,11.0,11.0,10.0,9.0,9.0,9.0,6.0,6.0,6.0,9.0,10.0,9.0,7.0,8.0,,8.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Huron Valley Percussion,"White Lake, MI",8.0,9.0,8.0,14.0,13.0,14.0,11.0,6.0,5.0,5.0,11.0,11.0,11.0,7.0,9.0,10.0,10.0,11.0,13.0,13.0,10.0,16.0,17.0,17.0,6.0,6.0,6.0,10.0,9.0,,9.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Sun City Independent,"El Paso, TX",12.0,15.0,13.0,1.0,4.0,2.0,9.0,15.0,15.0,15.0,10.0,10.0,10.0,12.0,10.0,9.0,9.0,16.0,12.0,14.0,11.0,13.0,10.0,12.0,12.0,12.0,12.0,12.0,10.0,,10.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Vision Percussion,"Gilbert, AZ",13.0,16.0,14.0,17.0,16.0,16.0,17.0,8.0,7.0,8.0,13.0,13.0,13.0,11.0,8.0,8.0,8.0,6.0,4.0,4.0,7.0,10.0,11.0,10.0,15.0,14.0,15.0,13.0,11.0,,11.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Old Line Independent Percussion,"Frederick, MD",10.0,7.0,9.0,9.0,15.0,12.0,10.0,13.0,16.0,14.0,7.0,6.0,6.0,9.0,12.0,13.0,13.0,15.0,17.0,17.0,17.0,8.0,8.0,8.0,10.0,9.0,10.0,8.0,12.0,,12.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Palmetto Indoor Theatre,"Pickens, SC",7.0,5.0,6.0,11.0,11.0,11.0,7.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,10.0,11.0,14.0,12.0,14.0,13.0,11.0,11.0,11.0,11.0,13.0,,13.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Charles Towne Percussion,"Charleston, SC",15.0,17.0,17.0,13.0,6.0,10.0,14.0,10.0,10.0,10.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,13.0,15.0,15.0,13.0,14.0,12.0,14.0,16.0,16.0,16.0,14.0,14.0,,14.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Pi Percussion Inc.,"Crest Hill, IL",17.0,13.0,16.0,15.0,12.0,15.0,16.0,14.0,13.0,13.0,12.0,12.0,12.0,14.0,15.0,15.0,15.0,8.0,14.0,12.0,12.0,11.0,9.0,9.0,17.0,17.0,17.0,14.0,15.0,,15.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Siege Percussion,"Mount Dora, FL",16.0,14.0,15.0,12.0,14.0,13.0,15.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,13.0,12.0,12.0,17.0,16.0,16.0,16.0,15.0,16.0,15.0,13.0,15.0,14.0,14.0,16.0,,16.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
Rift Percussion,"Pocatello, ID",11.0,10.0,11.0,16.0,17.0,17.0,13.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,12.0,11.0,10.0,15.0,17.0,15.0,16.0,14.0,13.0,13.0,17.0,17.0,,17.0,J. Kennedy,J. Webb,J. Duke,J. Hunt,J. Merritt,L. Teel,S. Adamo,C. Craig,Percussion Independent Open,2025-04-10
